# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: SatEph
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
56658.52997685,-0.06643420,-0.12400572,1.10367708
56658.53009259,-0.07432972,-0.11529530,1.10411479
56658.53020833,-0.08221697,-0.10657206,1.10442934
56658.53032407,-0.09009509,-0.09783697,1.10462071
56658.53043981,-0.09796318,-0.08909099,1.10468886
56658.53055556,-0.10582038,-0.08033512,1.10463378
56658.53067130,-0.11366582,-0.07157030,1.10445549
56658.53078704,-0.12149861,-0.06279753,1.10415400
56658.53090278,-0.12931789,-0.05401778,1.10372934
56658.53101852,-0.13712279,-0.04523202,1.10318157
56658.53113426,-0.14491243,-0.03644123,1.10251074
56658.53125000,-0.15268596,-0.02764640,1.10171692
56658.53136574,-0.16044251,-0.01884849,1.10080020
56658.53148148,-0.16818121,-0.01004849,1.09976069
56658.53159722,-0.17590120,-0.00124737,1.09859850
56658.53171296,-0.18360163,0.00755388,1.09731375
56658.53182870,-0.19128163,0.01635428,1.09590659
56658.53194444,-0.19894036,0.02515286,1.09437717
56658.53206019,-0.20657695,0.03394864,1.09272567
56658.53217593,-0.21419057,0.04274063,1.09095226
56658.53229167,-0.22178036,0.05152787,1.08905715
56658.53240741,-0.22934547,0.06030937,1.08704053
56658.53252315,-0.23688507,0.06908415,1.08490264
56658.53263889,-0.24439831,0.07785125,1.08264371
56658.53275463,-0.25188437,0.08660967,1.08026399
56658.53287037,-0.25934240,0.09535845,1.07776375
56658.53298611,-0.26677157,0.10409662,1.07514325
56658.53310185,-0.27417107,0.11282320,1.07240280
56658.53321759,-0.28154006,0.12153722,1.06954269
56658.53333333,-0.28887772,0.13023771,1.06656325
56658.53344907,-0.29618323,0.13892371,1.06346479
