Device Name,Shielding,Storm Level,Upset Rate/Bit/Orbit,Probability of Survival/Bit/Mission,Upset Rate/Device/Orbit,Probability of Survival/Device/Mission
UltraScale XQRKU060 Config,300,3,2.85E-10,1,0.00020695,0.99979
UltraScale XQRKU060 blockRAM,300,3,4.67E-10,1,0.017731,0.98243
Xilinx UltraScale XCKU040 ConfigMem,5,4,2.30E-06,0.9999977,1.218098,0.2957922
Xilinx UltraScale XCKU040 BlockRAM,5,4,4.75E-06,0.9999952,102.6841,2.54E-45
Xilinx Kintex-7 Config Mem,5,4,3.52E-06,0.9999965,1.149149,0.3169063
Xilinx Kintex-7 blockRAM,5,4,3.52E-05,0.9999648,563.9595,1.19E-245
UltraScale XQRKU060 Config,5,4,2.84E-06,0.9999972,2.060732,0.1273607
UltraScale XQRKU060 blockRAM,5,4,4.69E-06,0.9999953,178.3717,3.42E-78
Xilinx UltraScale XCKU040 ConfigMem,10,4,2.91E-07,1,0.154176,0.857121
Xilinx UltraScale XCKU040 BlockRAM,10,4,5.38E-07,0.999999,11.6188,9.00E-06
Xilinx Kintex-7 Config Mem,10,4,3.55E-07,1,0.115664,0.890774
Xilinx Kintex-7 blockRAM,10,4,5.06E-06,0.999995,80.9849,6.74E-36
UltraScale XQRKU060 Config,10,4,3.96E-07,1,0.28713,0.750414
UltraScale XQRKU060 blockRAM,10,4,6.61E-07,0.999999,25.0992,1.26E-11
Xilinx UltraScale XCKU040 ConfigMem,30,4,1.12E-08,1,0.0059581,0.99406
Xilinx UltraScale XCKU040 BlockRAM,30,4,2.00E-08,1,0.43112,0.64978
Xilinx Kintex-7 Config Mem,30,4,1.30E-08,1,0.0042287,0.99578
Xilinx Kintex-7 blockRAM,30,4,2.02E-07,1,3.2345,0.03938
UltraScale XQRKU060 Config,30,4,1.60E-08,1,0.011611,0.98846
UltraScale XQRKU060 blockRAM,30,4,2.66E-08,1,1.01,0.36422
Xilinx UltraScale XCKU040 ConfigMem,50,4,4.66E-09,1,0.0024732,0.99753
Xilinx UltraScale XCKU040 BlockRAM,50,4,7.73E-09,1,0.16706,0.84615
Xilinx Kintex-7 Config Mem,50,4,4.50E-09,1,0.0014683,0.99853
Xilinx Kintex-7 blockRAM,50,4,8.95E-08,1,1.4325,0.23871
UltraScale XQRKU060 Config,50,4,6.97E-09,1,0.0050604,0.99495
UltraScale XQRKU060 blockRAM,50,4,1.15E-08,1,0.43812,0.64525
Xilinx UltraScale XCKU040 ConfigMem,80,4,2.12E-09,1,0.001124,0.99888
Xilinx UltraScale XCKU040 BlockRAM,80,4,3.31E-09,1,0.071601,0.9309
Xilinx Kintex-7 Config Mem,80,4,1.71E-09,1,0.00055868,0.99944
Xilinx Kintex-7 blockRAM,80,4,4.28E-08,1,0.68476,0.50421
UltraScale XQRKU060 Config,80,4,3.30E-09,1,0.0023914,0.99761
UltraScale XQRKU060 blockRAM,80,4,5.40E-09,1,0.20526,0.81443
Xilinx UltraScale XCKU040 ConfigMem,100,4,1.46E-09,1,0.0007737,0.99923
Xilinx UltraScale XCKU040 BlockRAM,100,4,2.24E-09,1,0.048424,0.95273
Xilinx Kintex-7 Config Mem,100,4,1.11E-09,1,0.0003633,0.99964
Xilinx Kintex-7 blockRAM,100,4,2.99E-08,1,0.47805,0.61999
UltraScale XQRKU060 Config,100,4,2.30E-09,1,0.0016665,0.99833
UltraScale XQRKU060 blockRAM,100,4,3.75E-09,1,0.1424,0.86727
Xilinx UltraScale XCKU040 ConfigMem,200,4,5.18E-10,1,0.0002744,0.99973
Xilinx UltraScale XCKU040 BlockRAM,200,4,7.68E-10,1,0.016603,0.98353
Xilinx Kintex-7 Config Mem,200,4,3.54E-10,1,0.00011524,0.99988
Xilinx Kintex-7 blockRAM,200,4,1.09E-08,1,0.174,0.8403
UltraScale XQRKU060 Config,200,4,8.37E-10,1,0.00060719,0.99939
UltraScale XQRKU060 blockRAM,200,4,1.34E-09,1,0.051086,0.9502
Xilinx UltraScale XCKU040 ConfigMem,300,4,3.02E-10,1,0.00016015,0.99984
Xilinx UltraScale XCKU040 BlockRAM,300,4,4.45E-10,1,0.0096186,0.99043
Xilinx Kintex-7 Config Mem,300,4,2.02E-10,1,6.57E-05,0.99993
Xilinx Kintex-7 blockRAM,300,4,6.38E-09,1,0.10207,0.90297
UltraScale XQRKU060 Config,300,4,4.91E-10,1,0.00035625,0.99964
UltraScale XQRKU060 blockRAM,300,4,7.88E-10,1,0.02994,0.9705
Xilinx UltraScale XCKU040 ConfigMem,5,4.5,3.18E-05,0.9999682,16.862456,4.75E-08
Xilinx UltraScale XCKU040 BlockRAM,5,4.5,6.45E-05,0.99993551,1393.357,0
Xilinx Kintex-7 Config Mem,5,4.5,4.69E-05,0.99995315,15.27445,2.32E-07
Xilinx Kintex-7 blockRAM,5,4.5,0.000501004,0.99949912,8016.0706,0
UltraScale XQRKU060 Config,5,4.5,4.01E-05,0.99995993,29.071799,2.37E-13
UltraScale XQRKU060 blockRAM,5,4.5,6.65E-05,0.99993353,2526.1158,0
Xilinx UltraScale XCKU040 ConfigMem,10,4.5,5.93E-06,0.99999407,3.1464991,0.043002412
Xilinx UltraScale XCKU040 BlockRAM,10,4.5,1.11E-05,0.99998891,239.50842,9.61E-105
Xilinx Kintex-7 Config Mem,10,4.5,7.43E-06,0.99999257,2.4214943,0.08878884
Xilinx Kintex-7 blockRAM,10,4.5,0.000102217,0.99989779,1635.4723,0
UltraScale XQRKU060 Config,10,4.5,8.04E-06,0.99999196,5.8354178,0.002922202
UltraScale XQRKU060 blockRAM,10,4.5,1.34E-05,0.99998664,507.79358,2.94E-221
Xilinx UltraScale XCKU040 ConfigMem,30,4.5,3.81E-07,0.9999996,0.2018233,0.8172393
Xilinx UltraScale XCKU040 BlockRAM,30,4.5,6.37E-07,0.9999994,13.76645,1.05E-06
Xilinx Kintex-7 Config Mem,30,4.5,3.74E-07,0.9999996,0.1220607,0.8850946
Xilinx Kintex-7 blockRAM,30,4.5,7.25E-06,0.9999928,115.9921,4.22E-51
UltraScale XQRKU060 Config,30,4.5,5.63E-07,0.9999994,0.4082029,0.6648439
UltraScale XQRKU060 blockRAM,30,4.5,9.35E-07,0.9999991,35.53622,3.69E-16
Xilinx UltraScale XCKU040 ConfigMem,50,4.5,1.33E-07,1,0.0703967,0.932024
Xilinx UltraScale XCKU040 BlockRAM,50,4.5,2.06E-07,1,4.46157,0.0115443
Xilinx Kintex-7 Config Mem,50,4.5,1.05E-07,1,0.0342342,0.966345
Xilinx Kintex-7 blockRAM,50,4.5,2.69E-06,0.999997,43.0749,1.96E-19
UltraScale XQRKU060 Config,50,4.5,2.06E-07,1,0.149594,0.861058
UltraScale XQRKU060 blockRAM,50,4.5,3.39E-07,1,12.8956,2.51E-06
Xilinx UltraScale XCKU040 ConfigMem,80,4.5,5.22E-08,1,0.0276605,0.972719
Xilinx UltraScale XCKU040 BlockRAM,80,4.5,7.64E-08,1,1.65116,0.191826
Xilinx Kintex-7 Config Mem,80,4.5,3.33E-08,1,0.0108636,0.989195
Xilinx Kintex-7 blockRAM,80,4.5,1.11E-06,0.999999,17.732,1.99E-08
UltraScale XQRKU060 Config,80,4.5,8.42E-08,1,0.0610669,0.94076
UltraScale XQRKU060 blockRAM,80,4.5,1.37E-07,1,5.19755,0.00553007
Xilinx UltraScale XCKU040 ConfigMem,100,4.5,3.35E-08,1,0.0177421,0.982414
Xilinx UltraScale XCKU040 BlockRAM,100,4.5,4.81E-08,1,1.03988,0.353499
Xilinx Kintex-7 Config Mem,100,4.5,1.99E-08,1,0.00648499,0.993536
